NR.,CODICE UNIONE,REGIONE,PROVINCIA,DESCRIZIONE UNIONE DI COMUNI,DATA COSTITUZIONE,NR. COMUNI,COMUNI,POP. UOMINI,POP. DONNE,POP. TOTALE
3,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,BISEGNA,120,141,261
4,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CANISTRO,486,537,1023
5,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CAPISTRELLO,2583,2758,5341
6,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CAPPADOCIA,305,246,551
7,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CARSOLI,2639,2780,5419
8,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CASTELLAFIUME,558,541,1099
9,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CELANO,5371,5457,10828
10,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CERCHIO,806,847,1653
11,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CIVITA D'ANTINO,483,511,994
12,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,CIVITELLA ROVETO,1697,1677,3374
13,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,COLLARMELE,451,499,950
14,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,COLLELONGO,641,672,1313
15,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,GIOIA DEI MARSI,1058,1053,2111
16,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,LECCE NEI MARSI,829,906,1735
17,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,LUCO DEI MARSI,2976,2892,5868
18,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,MAGLIANO DE' MARSI,1820,1933,3753
19,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,MASSA D'ALBE,739,770,1509
20,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,MORINO,735,770,1505
21,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,ORICOLA,588,567,1155
22,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,ORTONA DEI MARSI,269,323,592
23,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,ORTUCCHIO,924,939,1863
24,4130386030,ABRUZZO,L'AQUILA,UNIONE DEI COMUNI MONTAGNA MARSICANA,1-Gen-2023,34,OVINDOLI,611,579,1190
