nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
1, , , , , ,,BERTINORO,5337,5461,10798
2, , , , , ,,CASTROCARO TERME E TERRA DEL SOLE,3201,3311,6512
3, , , , , ,,CIVITELLA DI ROMAGNA,1866,1926,3792
4, , , , , ,,DOVADOLA,803,858,1661
5, , , , , ,,FORLIMPOPOLI,6364,6618,12982
6, , , , , ,,GALEATA,1250,1266,2516
7, , , , , ,,MELDOLA,4891,5109,10000
8, , , , , ,,MODIGLIANA,2348,2378,4726
9, , , , , ,,PORTICO E SAN BENEDETTO,380,389,769
10, , , , , ,,PREDAPPIO,3228,3291,6519
11, , , , , ,,PREMILCUORE,403,400,803
12, , , , , ,,ROCCA SAN CASCIANO,960,1040,2000
13, , , , , ,,SANTA SOFIA,2045,2148,4193
14, , , , , ,,TREDOZIO,627,632,1259
0,2080326020,EMILIA-ROMAGNA,FORLI'-CESENA,UNIONE RUBICONE E MARE,1-Gen-2006,9,,43875,45497,89372
1, , , , , ,,BORGHI,1356,1362,2718
2, , , , , ,,CESENATICO,12307,13105,25412
3, , , , , ,,GAMBETTOLA,4986,5252,10238
4, , , , , ,,GATTEO,4396,4514,8910
5, , , , , ,,LONGIANO,3370,3467,6837
6, , , , , ,,RONCOFREDDO,1717,1678,3395
7, , , , , ,,SAN MAURO PASCOLI,5462,5628,11090
8, , , , , ,,SAVIGNANO SUL RUBICONE,8671,8850,17521
9, , , , , ,,SOGLIANO AL RUBICONE,1610,1641,3251
0,2080326050,EMILIA-ROMAGNA,FORLI'-CESENA,VALLE DEL SAVIO,1-Gen-2014,6,,56435,59967,116402
1, , , , , ,,BAGNO DI ROMAGNA,2985,3153,6138
2, , , , , ,,CESENA,46302,49688,95990
3, , , , , ,,MERCATO SARACENO,3520,3477,6997
4, , , , , ,,MONTIANO,834,867,1701
5, , , , , ,,SARSINA,1785,1817,3602
6, , , , , ,,VERGHERETO,1009,965,1974
0,2080506060,EMILIA-ROMAGNA,MODENA,DEL DISTRETTO CERAMICO,1-Gen-2011,8,,57631,59865,117496
1, , , , , ,,FIORANO MODENESE,8414,8531,16945
2, , , , , ,,FORMIGINE,16648,17019,33667
3, , , , , ,,FRASSINORO,964,1033,1997
4, , , , , ,,MARANELLO,8184,8438,16622
5, , , , , ,,MONTEFIORINO,1134,1119,2253
6, , , , , ,,PALAGANO,1135,1219,2354
7, , , , , ,,PRIGNANO SULLA SECCHIA,1892,1881,3773
8, , , , , ,,SASSUOLO,19260,20625,39885
0,2080506010,EMILIA-ROMAGNA,MODENA,DEL SORBARA,1-Gen-2000,6,,36094,36769,72863
1, , , , , ,,BASTIGLIA,1993,1992,3985
2, , , , , ,,BOMPORTO,4877,4884,9761
3, , , , , ,,CASTELFRANCO EMILIA,15765,15891,31656
4, , , , , ,,NONANTOLA,7394,7785,15179
5, , , , , ,,RAVARINO,3056,3109,6165
6, , , , , ,,SAN CESARIO SUL PANARO,3009,3108,6117
0,2080506020,EMILIA-ROMAGNA,MODENA,TERRE DI CASTELLI,1-Gen-2001,8,,41788,42759,84547
1, , , , , ,,CASTELNUOVO RANGONE,7064,7052,14116
2, , , , , ,,CASTELVETRO DI MODENA,5495,5517,11012
3, , , , , ,,GUIGLIA,2015,1984,3999
4, , , , , ,,MARANO SUL PANARO,2392,2395,4787
5, , , , , ,,SAVIGNANO SUL PANARO,4569,4707,9276
6, , , , , ,,SPILAMBERTO,6066,6064,12130
7, , , , , ,,VIGNOLA,11740,12604,24344
8, , , , , ,,ZOCCA,2447,2436,4883
0,2080506030,EMILIA-ROMAGNA,MODENA,UNIONE COMUNI MODENESI AREA NORD,1-Gen-2004,8,,30168,31690,61858
1, , , , , ,,CAMPOSANTO,1599,1572,3171
2, , , , , ,,CAVEZZO,3489,3707,7196
3, , , , , ,,CONCORDIA SULLA SECCHIA,4383,4585,8968
4, , , , , ,,FINALE EMILIA,7586,8127,15713
5, , , , , ,,MEDOLLA,3070,3252,6322
6, , , , , ,,SAN FELICE SUL PANARO,5354,5672,11026
7, , , , , ,,SAN POSSIDONIO,1732,1889,3621
8, , , , , ,,SAN PROSPERO,2955,2886,5841
0,2080506070,EMILIA-ROMAGNA,MODENA,UNIONE DEI COMUNI DEL FRIGNANO,1-Gen-2014,10,,20120,20612,40732
1, , , , , ,,FANANO,1466,1562,3028
2, , , , , ,,FIUMALBO,643,661,1304
3, , , , , ,,LAMA MOCOGNO,1403,1441,2844
4, , , , , ,,MONTECRETO,510,490,1000
5, , , , , ,,PAVULLO NEL FRIGNANO,8401,8797,17198
6, , , , , ,,PIEVEPELAGO,1107,1134,2241
7, , , , , ,,POLINAGO,884,858,1742
8, , , , , ,,RIOLUNATO,390,369,759
9, , , , , ,,SERRAMAZZONI,4043,3971,8014
10, , , , , ,,SESTOLA,1273,1329,2602
0,2080506040,EMILIA-ROMAGNA,MODENA,UNIONE DELLE TERRE D'ARGINE,1-Gen-2006,4,,49140,52675,101815
1, , , , , ,,CAMPOGALLIANO,4189,4325,8514
2, , , , , ,,CARPI,32099,35169,67268
3, , , , , ,,NOVI DI MODENA,5457,5515,10972
4, , , , , ,,SOLIERA,7395,7666,15061
0,2080566010,EMILIA-ROMAGNA,PARMA,UNIONE BASSA EST PARMENSE,1-Gen-2001,3,,14495,14867,29362
1, , , , , ,,COLORNO,4379,4541,8920
2, , , , , ,,SORBOLO MEZZANI,6398,6586,12984
3, , , , , ,,TORRILE,3718,3740,7458
0,2080566080,EMILIA-ROMAGNA,PARMA,UNIONE BASSA OVEST PARMENSE,10-Mag-2023,3,,5855,6081,11936
1, , , , , ,,POLESINE ZIBELLO,1628,1720,3348
2, , , , , ,,ROCCABIANCA,1510,1559,3069
3, , , , , ,,SAN SECONDO PARMENSE,2717,2802,5519
0,2080566060,EMILIA-ROMAGNA,PARMA,UNIONE MONTANA APPENNINI PARMA EST,1-Gen-2014,7,,12158,12336,24494
1, , , , , ,,CORNIGLIO,993,1004,1997
2, , , , , ,,LANGHIRANO,4837,4947,9784
3, , , , , ,,LESIGNANO DE' BAGNI,2367,2392,4759
4, , , , , ,,MONCHIO DELLE CORTI,501,484,985
5, , , , , ,,NEVIANO DEGLI ARDUINI,1829,1862,3691
6, , , , , ,,PALANZANO,575,590,1165
7, , , , , ,,TIZZANO VAL PARMA,1056,1057,2113
0,2080566040,EMILIA-ROMAGNA,PARMA,UNIONE PEDEMONTANA PARMENSE,1-Gen-2009,5,,23422,24241,47663
1, , , , , ,,COLLECCHIO,6761,7132,13893
2, , , , , ,,FELINO,4221,4400,8621
3, , , , , ,,MONTECHIARUGOLO,5204,5278,10482
4, , , , , ,,SALA BAGANZA,2700,2692,5392
5, , , , , ,,TRAVERSETOLO,4536,4739,9275
0,2080566070,EMILIA-ROMAGNA,PARMA,VALLI DEL TARO E CENO,1-Gen-2014,7,,8008,8254,16262
1, , , , , ,,BEDONIA,1801,1816,3617
2, , , , , ,,BORE,407,392,799
3, , , , , ,,BORGO VAL DI TARO,3527,3748,7275
4, , , , , ,,COMPIANO,556,566,1122
5, , , , , ,,PELLEGRINO PARMENSE,536,530,1066
6, , , , , ,,TORNOLO,552,550,1102
7, , , , , ,,VARSI,629,652,1281
0,2080616050,EMILIA-ROMAGNA,PIACENZA,BASSA VAL D'ARDA FIUME PO',1-Gen-2014,7,,11839,12297,24136
1, , , , , ,,BESENZONE,500,476,976
2, , , , , ,,CAORSO,2387,2443,4830
3, , , , , ,,CASTELVETRO PIACENTINO,2691,2893,5584
4, , , , , ,,CORTEMAGGIORE,2208,2248,4456
5, , , , , ,,MONTICELLI D'ONGINA,2633,2795,5428
6, , , , , ,,SAN PIETRO IN CERRO,470,456,926
7, , , , , ,,VILLANOVA SULL'ARDA,950,986,1936
0,2080616070,EMILIA-ROMAGNA,PIACENZA,UNIONE COMUNI MONTANI ALTA VAL D'ARDA,21-Feb-2015,4,,5981,6232,12213
1, , , , , ,,CASTELL'ARQUATO,2304,2408,4712
2, , , , , ,,LUGAGNANO VAL D'ARDA,2026,2129,4155
3, , , , , ,,MORFASSO,550,555,1105
4, , , , , ,,VERNASCA,1101,1140,2241
0,2080616010,EMILIA-ROMAGNA,PIACENZA,UNIONE DEI COMUNI BASSA VAL TREBBIA E VAL LURETTA,1-Gen-2006,5,,15108,15651,30759
1, , , , , ,,CALENDASCO,1246,1202,2448
2, , , , , ,,GOSSOLENGO,2684,2747,5431
3, , , , , ,,GRAGNANO TREBBIENSE,2134,2252,4386
4, , , , , ,,RIVERGARO,3346,3507,6853
5, , , , , ,,ROTTOFRENO,5698,5943,11641
0,2080616080,EMILIA-ROMAGNA,PIACENZA,UNIONE MONTANA ALTA VAL NURE,24-Mar-2014,4,,5341,5474,10815
1, , , , , ,,BETTOLA,1496,1503,2999
2, , , , , ,,FARINI,713,742,1455
3, , , , , ,,FERRIERE,736,689,1425
4, , , , , ,,PONTE DELL'OLIO,2396,2540,4936
0,2080616060,EMILIA-ROMAGNA,PIACENZA,UNIONE MONTANA VALLI TREBBIA E LURETTA,29-Set-2014,8,,4334,4455,8789
1, , , , , ,,BOBBIO,1767,1944,3711
2, , , , , ,,CERIGNALE,91,64,155
3, , , , , ,,COLI,484,471,955
4, , , , , ,,CORTE BRUGNATELLA,316,355,671
5, , , , , ,,OTTONE,296,274,570
6, , , , , ,,PIOZZANO,348,294,642
7, , , , , ,,TRAVO,981,1012,1993
8, , , , , ,,ZERBA,51,41,92
0,2080616020,EMILIA-ROMAGNA,PIACENZA,UNIONE VALNURE E VALCHERO,1-Gen-2008,5,,14316,14621,28937
1, , , , , ,,CARPANETO PIACENTINO,3761,3776,7537
2, , , , , ,,GROPPARELLO,1157,1167,2324
3, , , , , ,,PODENZANO,4452,4538,8990
4, , , , , ,,SAN GIORGIO PIACENTINO,2871,2947,5818
5, , , , , ,,VIGOLZONE,2075,2193,4268
0,2080666010,EMILIA-ROMAGNA,RAVENNA,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,1-Gen-2008,9,,49225,52896,102121
1, , , , , ,,ALFONSINE,5850,6395,12245
2, , , , , ,,BAGNACAVALLO,8060,8655,16715
3, , , , , ,,BAGNARA DI ROMAGNA,1177,1171,2348
4, , , , , ,,CONSELICE,4793,5044,9837
5, , , , , ,,COTIGNOLA,3547,3837,7384
6, , , , , ,,FUSIGNANO,4049,4210,8259
7, , , , , ,,LUGO,15247,16815,32062
8, , , , , ,,MASSA LOMBARDA,5102,5347,10449
9, , , , , ,,SANT'AGATA SUL SANTERNO,1400,1422,2822
0,2080666020,EMILIA-ROMAGNA,RAVENNA,UNIONE ROMAGNA FAENTINA,1-Gen-2009,6,,42753,45168,87921
1, , , , , ,,BRISIGHELLA,3797,3867,7664
2, , , , , ,,CASOLA VALSENIO,1381,1343,2724
3, , , , , ,,CASTEL BOLOGNESE,4633,4886,9519
4, , , , , ,,FAENZA,27913,29835,57748
5, , , , , ,,RIOLO TERME,2836,2941,5777
6, , , , , ,,SOLAROLO,2193,2296,4489
0,2080686050,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,PIANURA REGGIANA,1-Gen-2008,6,,27075,27842,54917
1, , , , , ,,CAMPAGNOLA EMILIA,2747,2746,5493
2, , , , , ,,CORREGGIO,12060,12765,24825
3, , , , , ,,FABBRICO,3313,3383,6696
4, , , , , ,,RIO SALICETO,3065,3027,6092
5, , , , , ,,ROLO,2027,2011,4038
6, , , , , ,,SAN MARTINO IN RIO,3863,3910,7773
0,2080686060,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE COLLINE MATILDICHE,1-Gen-2009,3,,12669,13209,25878
1, , , , , ,,ALBINEA,4316,4439,8755
2, , , , , ,,QUATTRO CASTELLA,6305,6604,12909
3, , , , , ,,VEZZANO SUL CROSTOLO,2048,2166,4214
0,2080686020,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE DEI COMUNI BASSA REGGIANA,1-Gen-2009,8,,35030,36090,71120
1, , , , , ,,BORETTO,2599,2664,5263
2, , , , , ,,BRESCELLO,2764,2782,5546
3, , , , , ,,GUALTIERI,3274,3365,6639
4, , , , , ,,GUASTALLA,7144,7642,14786
5, , , , , ,,LUZZARA,4616,4553,9169
6, , , , , ,,NOVELLARA,6580,6875,13455
7, , , , , ,,POVIGLIO,3462,3583,7045
8, , , , , ,,REGGIOLO,4591,4626,9217
0,2080686080,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE MONTANA DEI COMUNI DELL'APPENNINO REGGIANO,17-Gen-2014,7,,16777,17137,33914
1, , , , , ,,CARPINETI,2040,2138,4178
2, , , , , ,,CASINA,2255,2279,4534
3, , , , , ,,CASTELNOVO NE' MONTI,5079,5402,10481
4, , , , , ,,TOANO,2290,2168,4458
5, , , , , ,,VENTASSO,2199,2208,4407
6, , , , , ,,VETTO,980,976,1956
7, , , , , ,,VILLA MINOZZO,1934,1966,3900
0,2080686070,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE TERRA DI MEZZO,1-Gen-2010,3,,13922,14467,28389
1, , , , , ,,BAGNOLO IN PIANO,4577,4809,9386
2, , , , , ,,CADELBOSCO DI SOPRA,5126,5283,10409
3, , , , , ,,CASTELNOVO DI SOTTO,4219,4375,8594
0,2080686040,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONE VAL D'ENZA,1-Gen-2009,8,,30077,31473,61550
1, , , , , ,,BIBBIANO,4917,5048,9965
2, , , , , ,,CAMPEGINE,2524,2590,5114
3, , , , , ,,CANOSSA,1901,1884,3785
4, , , , , ,,CAVRIAGO,4679,5019,9698
5, , , , , ,,GATTATICO,2945,2954,5899
6, , , , , ,,MONTECCHIO EMILIA,4907,5294,10201
7, , , , , ,,SAN POLO D'ENZA,2883,3066,5949
8, , , , , ,,SANT'ILARIO D'ENZA,5321,5618,10939
0,2080686030,EMILIA-ROMAGNA,REGGIO NELL'EMILIA,UNIONI DI COMUNI TRESINARO SECCHIA,1-Gen-2008,6,,39252,40214,79466
1, , , , , ,,BAISO,1739,1664,3403
2, , , , , ,,CASALGRANDE,9301,9334,18635
3, , , , , ,,CASTELLARANO,7395,7443,14838
4, , , , , ,,RUBIERA,7062,7359,14421
5, , , , , ,,SCANDIANO,12063,12729,24792
6, , , , , ,,VIANO,1692,1685,3377
0,2081016010,EMILIA-ROMAGNA,RIMINI,UNIONE DEI COMUNI DELLA VALCONCA,1-Gen-1996,8,,13645,13932,27577
1, , , , , ,,GEMMANO,571,581,1152
2, , , , , ,,MONDAINO,702,739,1441
3, , , , , ,,MONTEFIORE CONCA,1084,1111,2195
4, , , , , ,,MONTEGRIDOLFO,508,521,1029
5, , , , , ,,MONTESCUDO - MONTE COLOMBO,3300,3306,6606
6, , , , , ,,MORCIANO DI ROMAGNA,3349,3543,6892
7, , , , , ,,SALUDECIO,1519,1509,3028
8, , , , , ,,SAN CLEMENTE,2612,2622,5234
0,2081016030,EMILIA-ROMAGNA,RIMINI,UNIONE DI COMUNI VALMARECCHIA,1-Gen-2009,10,,26439,27222,53661
1, , , , , ,,CASTELDELCI,222,223,445
2, , , , , ,,MAIOLO,432,416,848
3, , , , , ,,NOVAFELTRIA,3573,3709,7282
4, , , , , ,,PENNABILLI,1486,1531,3017
5, , , , , ,,POGGIO TORRIANA,2470,2490,4960
6, , , , , ,,SAN LEO,1477,1493,2970
7, , , , , ,,SANT'AGATA FELTRIA,1145,1135,2280
8, , , , , ,,SANTARCANGELO DI ROMAGNA,10115,10724,20839
9, , , , , ,,TALAMELLO,501,559,1060
10, , , , , ,,VERUCCHIO,5018,4942,9960
0,2060356020,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE CARSO ISONZO ADRIATICO ,12-Dic-2014,9,,33928,35519,69447
1, , , , , ,,DOBERDO' DEL LAGO,713,728,1441
2, , , , , ,,GRADO,4066,4396,8462
3, , , , , ,,MONFALCONE,13264,13777,27041
4, , , , , ,,RONCHI DEI LEGIONARI,5767,6193,11960
5, , , , , ,,SAGRADO,1091,1145,2236
6, , , , , ,,SAN CANZIAN D'ISONZO,3109,3200,6309
7, , , , , ,,SAN PIER D'ISONZO,1014,1005,2019
8, , , , , ,,STARANZANO,3534,3665,7199
9, , , , , ,,TURRIACO,1370,1410,2780
0,2060356030,FRIULI-VENEZIA GIULIA,GORIZIA,UNIONE TERRITORIALE INTERCOMUNALE COLLIO - ALTO ISONZO,20-Feb-2017,12,,30957,33772,64729
1, , , , , ,,CAPRIVA DEL FRIULI,835,896,1731
2, , , , , ,,CORMONS,3559,3984,7543
3, , , , , ,,FARRA D'ISONZO,869,883,1752
4, , , , , ,,GORIZIA,16743,18469,35212
5, , , , , ,,GRADISCA D'ISONZO,3105,3423,6528
6, , , , , ,,MARIANO DEL FRIULI,786,814,1600
7, , , , , ,,MEDEA,475,495,970
8, , , , , ,,MORARO,365,402,767
9, , , , , ,,MOSSA,796,863,1659
10, , , , , ,,ROMANS D'ISONZO,1790,1912,3702
11, , , , , ,,SAN LORENZO ISONTINO,770,778,1548
12, , , , , ,,VILLESSE,864,853,1717
0,2060936050,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' DI MONTAGNA DELLE PREALPI FRIULANE ORIENTALI,1-Lug-2016,15,,22127,23092,45219
1, , , , , ,,ARBA,645,664,1309
2, , , , , ,,CASTELNOVO DEL FRIULI,462,451,913
3, , , , , ,,CAVASSO NUOVO,757,849,1606
4, , , , , ,,CLAUZETTO,194,196,390
5, , , , , ,,FANNA,757,799,1556
6, , , , , ,,MANIAGO,5810,6008,11818
7, , , , , ,,MEDUNO,831,843,1674
8, , , , , ,,MONTEREALE VALCELLINA,2171,2346,4517
9, , , , , ,,PINZANO AL TAGLIAMENTO,749,818,1567
10, , , , , ,,SEQUALS,1080,1141,2221
11, , , , , ,,SPILIMBERGO,5812,6090,11902
12, , , , , ,,TRAVESIO,869,945,1814
13, , , , , ,,VAJONT,879,836,1715
14, , , , , ,,VITO D'ASIO,407,411,818
15, , , , , ,,VIVARO,704,695,1399
0,2060936060,FRIULI-VENEZIA GIULIA,PORDENONE,COMUNITA' SILE,1-Lug-2016,3,,11960,12253,24213
1, , , , , ,,AZZANO DECIMO,7652,7902,15554
2, , , , , ,,CHIONS,2567,2621,5188
3, , , , , ,,PRAVISDOMINI,1741,1730,3471
0,2060936080,FRIULI-VENEZIA GIULIA,PORDENONE,"MAGNIFICA COMUNITA' DI MONTAGNA DOLOMITI FRIULANE, CAVALLO E CANSIGLIO",12-Dic-2014,12,,12216,12810,25026
1, , , , , ,,ANDREIS,134,148,282
2, , , , , ,,AVIANO,4403,4622,9025
3, , , , , ,,BARCIS,139,122,261
4, , , , , ,,BUDOIA,1255,1297,2552
5, , , , , ,,CANEVA,3168,3336,6504
6, , , , , ,,CIMOLAIS,207,214,421
7, , , , , ,,CLAUT,496,509,1005
8, , , , , ,,ERTO E CASSO,194,193,387
9, , , , , ,,FRISANCO,322,323,645
10, , , , , ,,POLCENIGO,1518,1658,3176
11, , , , , ,,TRAMONTI DI SOPRA,172,186,358
12, , , , , ,,TRAMONTI DI SOTTO,208,202,410
0,2060936070,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE DEI COMUNI DI UTI DEL TAGLIAMENTO ,15-Apr-2016,7,,15079,15286,30365
1, , , , , ,,CASARSA DELLA DELIZIA,4189,4251,8440
2, , , , , ,,CORDOVADO,1356,1392,2748
3, , , , , ,,MORSANO AL TAGLIAMENTO,1382,1483,2865
4, , , , , ,,SAN GIORGIO DELLA RICHINVELDA,2313,2217,4530
5, , , , , ,,SAN MARTINO AL TAGLIAMENTO,742,754,1496
6, , , , , ,,SESTO AL REGHENA,3162,3157,6319
7, , , , , ,,VALVASONE ARZENE,1935,2032,3967
0,2060936090,FRIULI-VENEZIA GIULIA,PORDENONE,UNIONE TERRITORIALE INTERCOMUNALE DEL NONCELLO,21-Ott-2016,5,,44130,47439,91569
1, , , , , ,,FONTANAFREDDA,5732,5805,11537
2, , , , , ,,PORCIA,7452,7799,15251
3, , , , , ,,PORDENONE,23897,26686,50583
4, , , , , ,,ROVEREDO IN PIANO,2808,2971,5779
5, , , , , ,,ZOPPOLA,4241,4178,8419
0,2060926010,FRIULI-VENEZIA GIULIA,TRIESTE,UNIONE TERRITORIALE INTERCOMUNALE GIULIANA,24-Ago-2017,6,,109555,123046,232601
1, , , , , ,,DUINO AURISINA,4103,4483,8586
2, , , , , ,,MONRUPINO,433,448,881
3, , , , , ,,MUGGIA,6298,6724,13022
4, , , , , ,,SAN DORLIGO DELLA VALLE-DOLINA,2902,3010,5912
5, , , , , ,,SGONICO,1016,1061,2077
6, , , , , ,,TRIESTE,94803,107320,202123
0,2060856330,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' COLLINARE DEL FRIULI,1-Gen-2021,15,,24849,26392,51241
1, , , , , ,,BUJA,3181,3446,6627
2, , , , , ,,COLLOREDO DI MONTE ALBANO,1096,1135,2231
3, , , , , ,,COSEANO,1097,1150,2247
4, , , , , ,,DIGNANO,1137,1252,2389
5, , , , , ,,FAGAGNA,3053,3226,6279
6, , , , , ,,FLAIBANO,587,610,1197
7, , , , , ,,FORGARIA NEL FRIULI,892,934,1826
8, , , , , ,,MAJANO,2930,3121,6051
9, , , , , ,,MORUZZO,1166,1225,2391
10, , , , , ,,OSOPPO,1480,1526,3006
11, , , , , ,,RAGOGNA,1484,1539,3023
12, , , , , ,,RIVE D'ARCANO,1213,1266,2479
13, , , , , ,,SAN DANIELE DEL FRIULI,3877,4195,8072
14, , , , , ,,SAN VITO DI FAGAGNA,824,858,1682
15, , , , , ,,TREPPO GRANDE,832,909,1741
0,2060856180,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' DEL FRIULI ORIENTALE,15-Apr-2016,9,,21621,22740,44361
1, , , , , ,,BUTTRIO,1990,2049,4039
2, , , , , ,,CIVIDALE DEL FRIULI,5392,5986,11378
3, , , , , ,,MANZANO,3167,3414,6581
4, , , , , ,,MOIMACCO,822,826,1648
5, , , , , ,,PRADAMANO,1686,1850,3536
6, , , , , ,,PREMARIACCO,2086,2101,4187
7, , , , , ,,PREPOTTO,418,391,809
8, , , , , ,,REMANZACCO,2994,3072,6066
9, , , , , ,,SAN GIOVANNI AL NATISONE,3066,3051,6117
0,2060856140,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' DI MONTAGNA CANAL DEL FERRO E VAL CANALE,15-Apr-2016,8,,5614,5550,11164
1, , , , , ,,CHIUSAFORTE,359,344,703
2, , , , , ,,DOGNA,101,91,192
3, , , , , ,,MALBORGHETTO VALBRUNA,481,488,969
4, , , , , ,,MOGGIO UDINESE,883,931,1814
5, , , , , ,,PONTEBBA,724,779,1503
6, , , , , ,,RESIA,563,528,1091
7, , , , , ,,RESIUTTA,151,164,315
8, , , , , ,,TARVISIO,2352,2225,4577
0,2060856160,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' DI MONTAGNA DEL GEMONESE,20-Apr-2016,6,,9661,10232,19893
1, , , , , ,,ARTEGNA,1407,1470,2877
2, , , , , ,,BORDANO,378,411,789
3, , , , , ,,GEMONA DEL FRIULI,5331,5810,11141
4, , , , , ,,MONTENARS,277,281,558
5, , , , , ,,TRASAGHIS,1149,1149,2298
6, , , , , ,,VENZONE,1119,1111,2230
0,2060856310,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' DI MONTAGNA DEL NATISONE E TORRE,16-Ago-2016,17,,18042,18952,36994
1, , , , , ,,ATTIMIS,903,958,1861
2, , , , , ,,CASSACCO,1415,1496,2911
3, , , , , ,,DRENCHIA,59,75,134
4, , , , , ,,FAEDIS,1482,1532,3014
5, , , , , ,,GRIMACCO,180,194,374
6, , , , , ,,LUSEVERA,346,354,700
7, , , , , ,,MAGNANO IN RIVIERA,1167,1199,2366
8, , , , , ,,NIMIS,1369,1409,2778
9, , , , , ,,POVOLETTO,2718,2854,5572
10, , , , , ,,PULFERO,516,517,1033
11, , , , , ,,SAN LEONARDO,595,566,1161
12, , , , , ,,SAN PIETRO AL NATISONE,1085,1138,2223
13, , , , , ,,SAVOGNA,254,228,482
14, , , , , ,,STREGNA,208,190,398
15, , , , , ,,TAIPANA,355,324,679
16, , , , , ,,TARCENTO,4311,4784,9095
17, , , , , ,,TORREANO,1079,1134,2213
0,2060856150,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' DI MONTAGNA DELLA CARNIA,1-Gen-2016,28,,19408,20452,39860
1, , , , , ,,AMARO,386,455,841
2, , , , , ,,AMPEZZO,506,524,1030
3, , , , , ,,ARTA TERME,1107,1136,2243
4, , , , , ,,CAVAZZO CARNICO,512,575,1087
5, , , , , ,,CERCIVENTO,350,346,696
6, , , , , ,,COMEGLIANS,282,250,532
7, , , , , ,,ENEMONZO,658,693,1351
8, , , , , ,,FORNI AVOLTRI,322,320,642
9, , , , , ,,FORNI DI SOPRA,509,518,1027
10, , , , , ,,FORNI DI SOTTO,303,317,620
11, , , , , ,,LAUCO,397,387,784
12, , , , , ,,OVARO,994,1016,2010
13, , , , , ,,PALUZZA,1141,1231,2372
14, , , , , ,,PAULARO,1324,1413,2737
15, , , , , ,,PRATO CARNICO,465,462,927
16, , , , , ,,PREONE,127,139,266
17, , , , , ,,RAVASCLETTO,281,279,560
18, , , , , ,,RAVEO,239,269,508
19, , , , , ,,RIGOLATO,255,247,502
20, , , , , ,,SAPPADA,638,668,1306
21, , , , , ,,SAURIS,198,221,419
22, , , , , ,,SOCCHIEVE,449,492,941
23, , , , , ,,SUTRIO,677,694,1371
24, , , , , ,,TOLMEZZO,5101,5469,10570
25, , , , , ,,TREPPO LIGOSULLO,397,387,784
26, , , , , ,,VERZEGNIS,449,457,906
27, , , , , ,,VILLA SANTINA,1038,1184,2222
28, , , , , ,,ZUGLIO,303,303,606
0,2060856320,FRIULI-VENEZIA GIULIA,UDINE,COMUNITA' RIVIERA FRIULANA,15-Apr-2016,12,,26036,27327,53363
1, , , , , ,,CARLINO,1361,1429,2790
2, , , , , ,,LATISANA,6549,7098,13647
3, , , , , ,,LIGNANO SABBIADORO,3140,3307,6447
4, , , , , ,,MARANO LAGUNARE,986,977,1963
5, , , , , ,,MUZZANA DEL TURGNANO,1280,1361,2641
6, , , , , ,,PALAZZOLO DELLO STELLA,1469,1539,3008
7, , , , , ,,POCENIA,1294,1301,2595
8, , , , , ,,PORPETTO,1314,1336,2650
9, , , , , ,,PRECENICCO,708,776,1484
10, , , , , ,,RIVIGNANO TEOR,3166,3237,6403
11, , , , , ,,RONCHIS,995,1059,2054
12, , , , , ,,SAN GIORGIO DI NOGARO,3774,3907,7681
0,2060856300,FRIULI-VENEZIA GIULIA,UDINE,UNIONE TERRITORIALE INTERCOMUNALE DEL FRIULI CENTRALE,15-Apr-2016,5,,62982,71735,134717
1, , , , , ,,CAMPOFORMIDO,3720,3959,7679
2, , , , , ,,POZZUOLO DEL FRIULI,3344,3536,6880
3, , , , , ,,TAVAGNACCO,6785,7477,14262
4, , , , , ,,TRICESIMO,3628,3981,7609
5, , , , , ,,UDINE,45505,52782,98287
0,3120336060,LAZIO,FROSINONE,ANTICA TERRA DI LAVORO,1-Gen-2002,3,,2384,2564,4948
1, , , , , ,,FALVATERRA,279,288,567
2, , , , , ,,ROCCA D'ARCE,472,499,971
3, , , , , ,,SAN GIOVANNI INCARICO,1633,1777,3410
0,3120336020,LAZIO,FROSINONE,CINQUE CITTA',1-Gen-1999,5,,16988,17755,34743
1, , , , , ,,AQUINO,2603,2706,5309
2, , , , , ,,PIEDIMONTE SAN GERMANO,2975,3061,6036
3, , , , , ,,PONTECORVO,6389,6834,13223
