nr,codice_unione,regione,provincia,descrizione_unione_di_comuni,data_costituzione,nr_comuni,comuni_appartenenti_allunione,pop_uomini,pop_donne,pop_totale
23, , , , , ,,SAN PIO DELLE CAMERE,316,315,631
24, , , , , ,,SANT'EUSANIO FORCONESE,198,220,418
25, , , , , ,,SANTO STEFANO DI SESSANIO,57,54,111
26, , , , , ,,SCOPPITO,1652,1633,3285
27, , , , , ,,TORNIMPARTE,1549,1547,3096
28, , , , , ,,VILLA SANT'ANGELO,204,221,425
29, , , , , ,,VILLA SANTA LUCIA DEGLI ABRUZZI,67,74,141
0,4130606010,ABRUZZO,PESCARA,UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA,1-Gen-2003,8,,57963,61385,119348
1, , , , , ,,BUCCHIANICO,2562,2659,5221
2, , , , , ,,CAPPELLE SUL TAVO,1938,2021,3959
3, , , , , ,,FRANCAVILLA AL MARE,11403,12413,23816
4, , , , , ,,MIGLIANICO,2394,2450,4844
5, , , , , ,,MONTESILVANO,24391,26022,50413
6, , , , , ,,PIANELLA,4130,4307,8437
7, , , , , ,,SPOLTORE,9121,9445,18566
8, , , , , ,,TORREVECCHIA TEATINA,2024,2068,4092
0,4130796010,ABRUZZO,TERAMO,CITTA' TERRITORIO VAL VIBRATA,1-Gen-2000,12,,37707,39648,77355
1, , , , , ,,ALBA ADRIATICA,5495,6070,11565
2, , , , , ,,ANCARANO,912,965,1877
3, , , , , ,,CIVITELLA DEL TRONTO,2595,2738,5333
4, , , , , ,,COLONNELLA,1861,1907,3768
5, , , , , ,,CONTROGUERRA,1186,1236,2422
6, , , , , ,,CORROPOLI,2315,2435,4750
7, , , , , ,,MARTINSICURO,7607,7877,15484
8, , , , , ,,NERETO,2484,2591,5075
9, , , , , ,,SANT'EGIDIO ALLA VIBRATA,4787,4881,9668
10, , , , , ,,SANT'OMERO,2598,2715,5313
11, , , , , ,,TORANO NUOVO,792,866,1658
12, , , , , ,,TORTORETO,5075,5367,10442
0,4130796040,ABRUZZO,TERAMO,UNIONE COMUNI TERRE DEL SOLE,24-Ago-2017,4,,20985,22253,43238
1, , , , , ,,BELLANTE,3542,3618,7160
2, , , , , ,,GIULIANOVA,11082,12117,23199
3, , , , , ,,MORRO D'ORO,1768,1860,3628
4, , , , , ,,MOSCIANO SANT'ANGELO,4593,4658,9251
0,4130796030,ABRUZZO,TERAMO,UNIONE DEI COMUNI MONTANI DELLA LAGA,20-Gen-2014,5,,6058,6169,12227
1, , , , , ,,CAMPLI,3579,3697,7276
2, , , , , ,,CORTINO,355,328,683
3, , , , , ,,ROCCA SANTA MARIA,297,272,569
4, , , , , ,,TORRICELLA SICURA,1292,1378,2670
5, , , , , ,,VALLE CASTELLANA,535,494,1029
0,4130796020,ABRUZZO,TERAMO,UNIONE DI COMUNI COLLINE DEL MEDIO VOMANO,14-Giu-2011,6,,8812,9045,17857
1, , , , , ,,BASCIANO,1226,1212,2438
2, , , , , ,,CANZANO,951,1004,1955
3, , , , , ,,CASTELLALTO,3637,3722,7359
4, , , , , ,,CELLINO ATTANASIO,1283,1307,2590
5, , , , , ,,CERMIGNANO,873,914,1787
6, , , , , ,,PENNA SANT'ANDREA,842,886,1728
0,4170476010,BASILICATA,MATERA,COLLINA MATERANA,26-Giu-2023,7,,5618,6019,11637
1, , , , , ,,ACCETTURA,982,998,1980
2, , , , , ,,ALIANO,520,562,1082
3, , , , , ,,CIRIGLIANO,159,202,361
4, , , , , ,,CRACO,381,385,766
5, , , , , ,,GORGOGLIONE,531,522,1053
6, , , , , ,,SAN MAURO FORTE,842,868,1710
7, , , , , ,,STIGLIANO,2203,2482,4685
0,4170646010,BASILICATA,POTENZA,ALTO BRADANO,30-Dic-2011,8,,11581,11761,23342
1, , , , , ,,ACERENZA,1245,1308,2553
2, , , , , ,,BANZI,702,704,1406
3, , , , , ,,CANCELLARA,701,695,1396
4, , , , , ,,FORENZA,1123,1086,2209
5, , , , , ,,GENZANO DI LUCANIA,2894,3021,5915
6, , , , , ,,PALAZZO SAN GERVASIO,2480,2547,5027
7, , , , , ,,SAN CHIRICO NUOVO,739,736,1475
8, , , , , ,,TOLVE,1697,1664,3361
0,4170646040,BASILICATA,POTENZA,UNIONE DEI COMUNI MEDIO AGRI,3-Gen-2017,4,,4826,5033,9859
1, , , , , ,,MISSANELLO,254,294,548
2, , , , , ,,ROCCANOVA,793,851,1644
3, , , , , ,,SAN CHIRICO RAPARO,559,602,1161
4, , , , , ,,SANT'ARCANGELO,3220,3286,6506
